k8s,tests,test-numbers,number-of-pods,medians,mins,maxs
k0s,cp_light_1client,1,2,1000,0,1000
k0s,cp_light_1client,1,10,1000,1000,1000
k0s,cp_light_1client,2,2,1000,1000,1000
k0s,cp_light_1client,2,10,1000,1000,1000
k0s,cp_light_1client,3,10,1000,1000,1000
k0s,cp_light_1client,3,2,1000,1000,1000
k0s,cp_light_1client,4,2,1000,1000,1000
k0s,cp_light_1client,4,10,1000,1000,2000
k0s,cp_light_1client,5,10,1000,1000,1000
k0s,cp_light_1client,5,2,1000,1000,1000
k3s,cp_light_1client,1,2,3000,1000,3000
k3s,cp_light_1client,1,10,1000,1000,3000
k3s,cp_light_1client,2,2,1000,1000,1000
k3s,cp_light_1client,2,10,1000,1000,1000
k3s,cp_light_1client,3,2,1000,1000,1000
k3s,cp_light_1client,3,10,2000,1000,2000
k3s,cp_light_1client,4,10,2000,1000,3000
k3s,cp_light_1client,4,2,1000,1000,1000
k3s,cp_light_1client,5,2,1000,1000,1000
k3s,cp_light_1client,5,10,1000,1000,2000
k8s,cp_light_1client,1,2,3000,1000,3000
k8s,cp_light_1client,1,10,1000,1000,5000
k8s,cp_light_1client,2,2,2000,1000,2000
k8s,cp_light_1client,2,10,1000,1000,2000
k8s,cp_light_1client,3,2,1000,1000,1000
k8s,cp_light_1client,3,10,1000,1000,2000
k8s,cp_light_1client,4,2,2000,1000,2000
k8s,cp_light_1client,4,10,2000,1000,2000
k8s,cp_light_1client,5,2,1000,1000,1000
k8s,cp_light_1client,5,10,2000,1000,2000
kubeEdge,cp_light_1client,1,2,2000,1000,2000
kubeEdge,cp_light_1client,1,10,2000,1000,62000
kubeEdge,cp_light_1client,2,2,2000,1000,2000
kubeEdge,cp_light_1client,2,10,3000,1000,4000
kubeEdge,cp_light_1client,3,10,2000,2000,3000
kubeEdge,cp_light_1client,3,2,2000,1000,2000
kubeEdge,cp_light_1client,4,2,2000,1000,2000
kubeEdge,cp_light_1client,4,10,2000,1000,3000
kubeEdge,cp_light_1client,5,2,2000,2000,2000
kubeEdge,cp_light_1client,5,10,2000,2000,4000
openYurt,cp_light_1client,1,2,1000,1000,1000
openYurt,cp_light_1client,1,10,2000,1000,2000
openYurt,cp_light_1client,2,2,1000,1000,1000
openYurt,cp_light_1client,2,10,2000,1000,2000
openYurt,cp_light_1client,3,2,2000,1000,2000
openYurt,cp_light_1client,3,10,2000,1000,2000
openYurt,cp_light_1client,4,2,2000,1000,2000
openYurt,cp_light_1client,4,10,1000,1000,2000
openYurt,cp_light_1client,5,2,2000,1000,2000
openYurt,cp_light_1client,5,10,1000,1000,2000
k0s,cp_heavy_8client,1,16,1000,1000,2000
k0s,cp_heavy_8client,1,80,4000,3000,6000
k0s,cp_heavy_8client,2,16,1000,1000,2000
k0s,cp_heavy_8client,2,80,4000,2000,7000
k0s,cp_heavy_8client,3,80,4000,2000,5000
k0s,cp_heavy_8client,3,16,2000,1000,2000
k0s,cp_heavy_8client,4,16,1000,1000,2000
k0s,cp_heavy_8client,4,80,4000,3000,7000
k0s,cp_heavy_8client,5,16,1000,1000,2000
k0s,cp_heavy_8client,5,80,4000,3000,5000
k3s,cp_heavy_8client,1,16,1000,1000,2000
k3s,cp_heavy_8client,1,80,4000,2000,6000
k3s,cp_heavy_8client,2,80,4000,3000,5000
k3s,cp_heavy_8client,2,16,2000,1000,3000
k3s,cp_heavy_8client,3,16,2000,1000,2000
k3s,cp_heavy_8client,3,80,5000,3000,6000
k3s,cp_heavy_8client,4,16,2000,1000,2000
k3s,cp_heavy_8client,4,80,4000,2000,6000
k3s,cp_heavy_8client,5,16,2000,1000,2000
k3s,cp_heavy_8client,5,80,4000,3000,6000
k8s,cp_heavy_8client,1,16,1000,1000,2000
k8s,cp_heavy_8client,1,80,4000,3000,6000
k8s,cp_heavy_8client,2,80,4000,3000,6000
k8s,cp_heavy_8client,2,16,2000,1000,2000
k8s,cp_heavy_8client,3,16,1000,1000,2000
k8s,cp_heavy_8client,3,80,4000,2000,6000
k8s,cp_heavy_8client,4,80,4000,3000,6000
k8s,cp_heavy_8client,4,16,2000,1000,2000
k8s,cp_heavy_8client,5,16,1000,1000,2000
k8s,cp_heavy_8client,5,80,4000,2000,5000
kubeEdge,cp_heavy_8client,1,80,10000,3000,132000
kubeEdge,cp_heavy_8client,1,16,3000,2000,62000
kubeEdge,cp_heavy_8client,2,16,2000,1000,62000
kubeEdge,cp_heavy_8client,2,80,8999.999,2000,132000
kubeEdge,cp_heavy_8client,3,16,4000,2000,62000
kubeEdge,cp_heavy_8client,3,80,8999.999,2000,132000
kubeEdge,cp_heavy_8client,4,16,3000,2000,64000
kubeEdge,cp_heavy_8client,4,80,10000,2000,136000
kubeEdge,cp_heavy_8client,5,16,3000,2000,62000
kubeEdge,cp_heavy_8client,5,80,12000,2000,131000
openYurt,cp_heavy_8client,1,16,2000,1000,3000
openYurt,cp_heavy_8client,1,80,5000,2000,8999.999
openYurt,cp_heavy_8client,2,16,2000,1000,3000
openYurt,cp_heavy_8client,2,80,6000,2000,8000
openYurt,cp_heavy_8client,3,16,2000,1000,2000
openYurt,cp_heavy_8client,3,80,6000,2000,10000
openYurt,cp_heavy_8client,4,80,5000,2000,8999.999
openYurt,cp_heavy_8client,4,16,2000,2000,2000
openYurt,cp_heavy_8client,5,16,2000,1000,4000
openYurt,cp_heavy_8client,5,80,6000,3000,8999.999
k0s,cp_heavy_12client,1,24,2000,1000,3000
k0s,cp_heavy_12client,1,120,6000,3000,7000
k0s,cp_heavy_12client,2,24,2000,1000,3000
k0s,cp_heavy_12client,2,120,6000,4000,8999.999
k0s,cp_heavy_12client,3,120,6000,3000,7000
k0s,cp_heavy_12client,3,24,2000,1000,2000
k0s,cp_heavy_12client,4,24,2000,1000,2000
k0s,cp_heavy_12client,4,120,6000,3000,8000
k0s,cp_heavy_12client,5,24,2000,1000,2000
k0s,cp_heavy_12client,5,120,6000,4000,7000
k3s,cp_heavy_12client,1,24,2000,2000,2000
k3s,cp_heavy_12client,1,120,5000,3000,8000
k3s,cp_heavy_12client,2,24,2000,1000,2000
k3s,cp_heavy_12client,2,120,6000,4000,8000
k3s,cp_heavy_12client,3,24,2000,2000,2000
k3s,cp_heavy_12client,3,120,6000,3000,14000
k3s,cp_heavy_12client,4,24,2000,1000,3000
k3s,cp_heavy_12client,4,120,6000,3000,8000
k3s,cp_heavy_12client,5,24,2000,1000,4000
k3s,cp_heavy_12client,5,120,6000,3000,10000
k8s,cp_heavy_12client,1,24,2000,1000,3000
k8s,cp_heavy_12client,1,120,5000,2000,8999.999
k8s,cp_heavy_12client,2,24,2000,1000,3000
k8s,cp_heavy_12client,2,120,6000,3000,8999.999
k8s,cp_heavy_12client,3,24,2000,1000,3000
k8s,cp_heavy_12client,3,120,5000,2000,7000
k8s,cp_heavy_12client,4,24,2000,2000,3000
k8s,cp_heavy_12client,4,120,6000,3000,8000
k8s,cp_heavy_12client,5,24,2000,2000,3000
k8s,cp_heavy_12client,5,120,6000,2000,8000
kubeEdge,cp_heavy_12client,1,24,5000,2000,123000
kubeEdge,cp_heavy_12client,1,120,62000,2000,133000
kubeEdge,cp_heavy_12client,2,24,4000,2000,64000
kubeEdge,cp_heavy_12client,2,120,15000.001,3000,135000
kubeEdge,cp_heavy_12client,3,24,4000,2000,63000
kubeEdge,cp_heavy_12client,3,120,63000,2000,131000
kubeEdge,cp_heavy_12client,4,120,19000,2000,143000
kubeEdge,cp_heavy_12client,4,24,3000,2000,64000
kubeEdge,cp_heavy_12client,5,24,4000,2000,64000
kubeEdge,cp_heavy_12client,5,120,10000,3000,136000
openYurt,cp_heavy_12client,1,24,2000,2000,3000
openYurt,cp_heavy_12client,1,120,8000,3000,14000
openYurt,cp_heavy_12client,2,24,2000,1000,4000
openYurt,cp_heavy_12client,2,120,7000,2000,16000
openYurt,cp_heavy_12client,3,24,2000,2000,3000
openYurt,cp_heavy_12client,3,120,7000,2000,12000
openYurt,cp_heavy_12client,4,24,2000,1000,4000
openYurt,cp_heavy_12client,4,120,8999.999,2000,17000
openYurt,cp_heavy_12client,5,24,2000,1000,3000
openYurt,cp_heavy_12client,5,120,7000,3000,12999.999
